b'id',b'lat',b'lon',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'122656192',b'33.6970343',b'-117.7688995',b'SJFriedl',b'2709708',b'5',b'35020417',b'2015-11-01T20:06:28Z'
b'122656262',b'33.6334069',b'-117.7970968',b'Chris Bell in California',b'194231',b'7',b'12441513',b'2012-07-22T23:29:16Z'
b'122657135',b'33.7044207',b'-117.8801714',b'ivansanchez',b'5265',b'5',b'13679530',b'2012-10-29T21:25:19Z'
b'122657201',b'33.7246911',b'-117.8793727',b'SJFriedl',b'2709708',b'7',b'63961421',b'2018-10-28T22:21:45Z'
b'122657477',b'33.6244357',b'-117.7421348',b'kaurrupa',b'10457699',b'4',b'79101047',b'2020-01-02T06:22:26Z'
b'122658033',b'33.7291935',b'-117.8385455',b'karl-marx',b'9062085',b'6',b'78969522',b'2019-12-29T02:04:04Z'
b'122658670',b'33.7085996',b'-117.8240259',b'Jim3535',b'229805',b'3',b'10231779',b'2011-12-29T02:25:27Z'
b'122659419',b'33.7125081',b'-117.7910870',b'jerjozwik',b'36489',b'4',b'4633242',b'2010-05-07T19:46:44Z'
b'122660110',b'33.6778665',b'-117.7936154',b'SJFriedl',b'2709708',b'7',b'34052145',b'2015-09-16T01:07:28Z'
b'122660257',b'33.6466628',b'-117.8096832',b'Evanator',b'451067',b'6',b'12425582',b'2012-07-22T05:47:50Z'
b'122660333',b'33.6447824',b'-117.8025461',b'arpremna',b'8446886',b'7',b'63754517',b'2018-10-22T10:49:50Z'
b'122662050',b'33.6565134',b'-117.8693934',b'varmasa',b'10480274',b'6',b'79103340',b'2020-01-02T07:55:59Z'
b'122662355',b'33.6378158',b'-117.8406848',b'navuddin',b'10173440',b'6',b'79098841',b'2020-01-02T04:41:52Z'
b'122662376',b'33.6370272',b'-117.8367719',b'Chris Bell in California',b'194231',b'5',b'12441513',b'2012-07-22T23:29:20Z'
b'122663125',b'33.7282329',b'-117.8612412',b'StellanL',b'28775',b'5',b'12826584',b'2012-08-22T22:00:57Z'
b'122663160',b'33.7299148',b'-117.8612987',b'SJFriedl',b'2709708',b'7',b'63964229',b'2018-10-29T02:38:48Z'
b'122664122',b'33.6226343',b'-117.7381012',b'smbharan',b'10145720',b'4',b'79046432',b'2019-12-31T08:10:52Z'
b'122664748',b'33.6772137',b'-117.8112885',b'SJFriedl',b'2709708',b'9',b'34051009',b'2015-09-15T22:34:46Z'
b'122665536',b'33.6441517',b'-117.8650216',b'DannyAiquipa',b'2226712',b'7',b'31872649',b'2015-06-10T14:51:42Z'
b'122665569',b'33.6386736',b'-117.8635227',b'Rockear',b'725620',b'5',b'12480591',b'2012-07-25T04:26:39Z'
b'122666167',b'33.7298525',b'-117.7949255',b'SJFriedl',b'2709708',b'5',b'44653431',b'2016-12-24T23:15:10Z'
b'122666196',b'33.6449543',b'-117.8157557',b'saikariv',b'10192107',b'6',b'79077946',b'2020-01-01T10:55:46Z'
b'122667164',b'33.6840146',b'-117.7769153',b'ponzu',b'101657',b'4',b'7452039',b'2011-03-04T06:56:03Z'
b'122667549',b'33.7258379',b'-117.8138151',b'SJFriedl',b'2709708',b'4',b'37805705',b'2016-03-13T18:56:53Z'
b'122668353',b'33.7256223',b'-117.7590622',b'ponzu',b'101657',b'4',b'8061428',b'2011-05-05T21:50:04Z'
b'122668416',b'33.7177927',b'-117.7857351',b'ponzu',b'101657',b'4',b'7970682',b'2011-04-26T04:48:24Z'
b'122668768',b'33.7196175',b'-117.7577590',b'andygol',b'94578',b'6',b'31054558',b'2015-05-12T13:52:22Z'
b'122669936',b'33.7160792',b'-117.8697471',b'SJFriedl',b'2709708',b'7',b'63957909',b'2018-10-28T19:03:29Z'
b'122670287',b'33.6723436',b'-117.8238404',b'SJFriedl',b'2709708',b'7',b'38440515',b'2016-04-09T23:32:57Z'
b'122671317',b'33.6773813',b'-117.8249679',b'jumbanho',b'38487',b'5',b'12418266',b'2012-07-21T19:20:15Z'
b'122671708',b'33.7251031',b'-117.7624706',b'vshnsa',b'10480276',b'11',b'79052110',b'2019-12-31T10:52:27Z'
b'122672260',b'33.6740054',b'-117.8273452',b'SJFriedl',b'2709708',b'6',b'38440515',b'2016-04-09T23:32:57Z'
b'122673190',b'33.6552200',b'-117.8593324',b'Aaron Lidman',b'53073',b'3',b'12222651',b'2012-07-14T22:56:41Z'
b'122673940',b'33.7106893',b'-117.7715783',b'ponzu',b'101657',b'4',b'7913148',b'2011-04-20T06:42:52Z'
b'122674087',b'33.6920867',b'-117.8013065',b'Christine_E',b'1707766',b'5',b'26136890',b'2014-10-17T04:20:48Z'
b'122675266',b'33.6308934',b'-117.8100867',b'SJFriedl',b'2709708',b'7',b'40194075',b'2016-06-22T00:19:11Z'
b'122676722',b'33.6121018',b'-117.8351150',b'karragha',b'10271421',b'7',b'79101622',b'2020-01-02T06:45:04Z'
b'122677695',b'33.7123263',b'-117.7919448',b'SJFriedl',b'2709708',b'5',b'35062147',b'2015-11-03T18:19:41Z'
b'122677752',b'33.6136186',b'-117.8357886',b'ssange',b'10208970',b'6',b'79045776',b'2019-12-31T07:46:29Z'
b'122677965',b'33.7112460',b'-117.7650638',b'SJFriedl',b'2709708',b'4',b'34350768',b'2015-09-30T16:22:39Z'
b'122678354',b'33.7293105',b'-117.8123413',b'SJFriedl',b'2709708',b'5',b'41696470',b'2016-08-25T18:39:44Z'
b'122678885',b'33.6413802',b'-117.8213110',b'SJFriedl',b'2709708',b'5',b'40194075',b'2016-06-22T00:19:11Z'
b'122679614',b'33.7054286',b'-117.8743635',b'ivansanchez',b'5265',b'5',b'13679530',b'2012-10-29T21:25:20Z'
b'122680757',b'33.7059990',b'-117.7701449',b'ponzu',b'101657',b'3',b'8108034',b'2011-05-11T01:08:09Z'
b'122680937',b'33.7215843',b'-117.7652774',b'SJFriedl',b'2709708',b'4',b'30828123',b'2015-05-06T02:14:19Z'
b'122681546',b'33.7129833',b'-117.7661952',b'Fluffy89502',b'10165657',b'5',b'82208481',b'2020-03-15T04:31:44Z'
b'122682327',b'33.6743774',b'-117.8196580',b'SJFriedl',b'2709708',b'7',b'38440515',b'2016-04-09T23:32:57Z'
b'122683521',b'33.6468157',b'-117.8134970',b'rzsi',b'10173444',b'8',b'79047873',b'2019-12-31T08:51:58Z'
